LOCATION,TIME,unemployment
MEX,2020-01-01,3.579905
MEX,2020-02-01,3.566667
MEX,2020-03-01,3.253436
MEX,2020-04-01,4.807087
MEX,2020-05-01,4.309348
MEX,2020-06-01,5.505055
MEX,2020-07-01,5.156418
MEX,2020-08-01,4.960909
MEX,2020-09-01,4.693516
MEX,2020-10-01,4.589718
NLD,2020-01-01,3
NLD,2020-02-01,2.9
NLD,2020-03-01,2.9
NLD,2020-04-01,3.4
NLD,2020-05-01,3.6
NLD,2020-06-01,4.3
NLD,2020-07-01,4.5
NLD,2020-08-01,4.6
NLD,2020-09-01,4.4
NLD,2020-10-01,4.3
NOR,2020-01-01,3.7
NOR,2020-02-01,3.5
NOR,2020-03-01,3.6
NOR,2020-04-01,4.1
NOR,2020-05-01,4.6
NOR,2020-06-01,5.2
NOR,2020-07-01,5.2
NOR,2020-08-01,5.3
NOR,2020-09-01,5.2
OECD,2020-01-01,5.267261
OECD,2020-02-01,5.211413
OECD,2020-03-01,5.58952
OECD,2020-04-01,8.747764
OECD,2020-05-01,8.680347
OECD,2020-06-01,8.282507
OECD,2020-07-01,8.147287
OECD,2020-08-01,7.524984
OECD,2020-09-01,7.33025
POL,2020-01-01,3
POL,2020-02-01,3
POL,2020-03-01,3
POL,2020-04-01,3.1
POL,2020-05-01,3.3
POL,2020-06-01,3.4
POL,2020-07-01,3.4
POL,2020-08-01,3.4
POL,2020-09-01,3.4
POL,2020-10-01,3.5
PRT,2020-01-01,6.8
PRT,2020-02-01,6.4
PRT,2020-03-01,6.2
PRT,2020-04-01,6.3
PRT,2020-05-01,5.9
PRT,2020-06-01,7.3
PRT,2020-07-01,7.9
PRT,2020-08-01,8.1
PRT,2020-09-01,7.9
PRT,2020-10-01,7.5
SVK,2020-01-01,5.9
SVK,2020-02-01,6
SVK,2020-03-01,6
SVK,2020-04-01,6.7
SVK,2020-05-01,6.8
SVK,2020-06-01,6.7
SVK,2020-07-01,6.8
SVK,2020-08-01,6.9
SVK,2020-09-01,6.8
SVK,2020-10-01,7
SVN,2020-01-01,4.1
SVN,2020-02-01,4.2
SVN,2020-03-01,4.5
SVN,2020-04-01,5.4
SVN,2020-05-01,5.5
SVN,2020-06-01,5.3
SVN,2020-07-01,4.8
SVN,2020-08-01,4.7
SVN,2020-09-01,4.7
SVN,2020-10-01,4.9
SWE,2020-01-01,7.2
SWE,2020-02-01,7.6
SWE,2020-03-01,6.8
SWE,2020-04-01,7.9
SWE,2020-05-01,8.4
SWE,2020-06-01,9.2
SWE,2020-07-01,9.1
SWE,2020-08-01,9.1
SWE,2020-09-01,8.9
SWE,2020-10-01,8.6
TUR,2020-01-01,12.6
TUR,2020-02-01,12.6
TUR,2020-03-01,12.9
TUR,2020-04-01,13.6
TUR,2020-05-01,14
TUR,2020-06-01,14.3
TUR,2020-07-01,13.8
TUR,2020-08-01,13.3
USA,2020-01-01,3.566666666666667
USA,2020-02-01,3.5
USA,2020-03-01,4.4
USA,2020-04-01,14.799999999999999
USA,2020-05-01,13.333333333333334
USA,2020-06-01,11.133333333333333
USA,2020-07-01,10.2
USA,2020-08-01,8.433333333333334
USA,2020-09-01,7.866666666666667
USA,2020-10-01,6.866666666666667
